Update: 2017-09-29

### No. starts from 0

### Type (Category)
0	床	Floor
1	壁紙	Wallpaper
2	窓	Window
3	壁掛け	Tapestry
4	家具	Furniture
5	机	Desk

### Season value seems to has relation with "Need Furniture fiary" and "Buy on sale with Furniture fairy"

ID	Type	No.	Name	Rarity	Price	Is for sale?	Season	Description
22	0	21	真っ白なフワフワ絨毯	3	1500	0	0	寝そべったら気持ちよさそ<br>う！真っ白でフワフワ仕上<br>げの高級絨毯。駆逐艦娘も<br>大喜びの逸品です。紅茶と<br>かこぼしたらダメ絶対！
23	0	22	雪原の床	5	3300	0	0	匠の職人の技によって完成<br>した冬の雪原を鎮守府内に<br>ダイナミックに再現した雪<br>原の床。家具職人の未知の<br>技術を結集した逸品です。
24	0	23	春色の床	4	1500	0	0	春色満開の床です。比較的<br>リーズナブルな価格で春色<br>気分を目一杯執務室の中に<br>導入できます。ぜひ、春の<br>鎮守府模様替えにどうぞ！
25	0	24	青畳	3	500	0	0	やはり和の床は畳！そんな<br>畳派を自認する提督に贈る<br>真新しい天然い草を使った<br>青畳です。基本にして最高<br>の執務室を新しい畳で！
26	0	25	白い高級大理石床	3	2200	1	0	特注家具職人がその匠の<br>技で磨きあげた高級大理<br>石製の冬にぴったりの白<br>い床です。丁寧な仕上げ<br>で艦娘にも好評なのです！
27	0	26	秋の床板	2	450	1	0	比較的リーズナブルな価格<br>帯の秋を感じる床板です。<br>提督室にも秋の気配が！<br>いよいよ秋刀魚の美味しい<br>季節が近づいてきますね！
28	0	27	中秋の名月敷物	3	1700	1	0	中秋の名月をデザインした<br>わびさびを感じる秋の逸品<br>です。この敷物を提督室に<br>敷けば、たちまち秋の風を<br>を感じること間違いなし！
29	0	28	紅葉の職人床	4	117000	1	0	最高級の木材を用いて職人<br>が丁寧に組み上げた、秋の<br>季節にぴったりの季節床。<br>家具コイン長者向けですが<br>ダイナミック職人支援可！
30	0	29	艦娘座布団の床	2	880	0	0	提督室の床板もちょこっと<br>座布団を置くだけで居住性<br>は格段に向上！提督が艦娘<br>のために用意した、小さい<br>けれど特別な座布団です。
31	0	30	飛行甲板	4	9300	0	0	鎮守府で執務しながら艦載<br>機の発着艦訓練も可能かも<br>しれない特注の飛行甲板型<br>の床。エレベーターが一体<br>どこに行くのか謎です。
32	0	31	合宿セット・布団	0	0	0	0	こっそり夜まで布団の上でお菓子の交換こ！<br>食べたい…けどねむい…だべたい…ねむ…zzz
33	0	32	コンクリート床	2	200	1	0	都会派の貴方はこれでキマリ！洗練されたアーバンな執務室を演出するコンクリート製の床！
34	0	33	ラクガキ床	4	400	0	0	何度描いても水で簡単にふき取りが可能な楽しい床。戦略を立てるのにも有効です。
35	0	34	戦艦タイルの床	4	450	1	0	天然木と白タイルを組み合わせて戦艦級の艦艇柄をあしらった斬新な床です。自負に溢れた執務室です。
36	0	35	鮮やかな畳	0	0	0	0	い草の爽やかな香りが漂う畳。<br>鮮やかな緑が若々しく健やかな印象。
37	0	36	い草の畳	5	700	1	0	熟練の職人が仕上げた逸品。心も安らぐい草の香りが爽やか。懐かしい、そして最高級の畳の床です。
38	1	0	普通の壁紙	0	0	0	0	前任の提督が使っていたままの壁紙です。若干汚れていますし、なんとなく新調したい気もちょっぴりしますね。
39	1	1	低予算な壁紙	1	50	0	0	一番安い壁紙です。いいのです。執務室で戦闘するわけではないですし！
40	1	2	和のシンプル壁紙	2	300	0	0	和の家具と調和する落ち着<br>いた雰囲気の壁紙が欲しい<br>…という提督達のニーズに<br>よって誕生したシンプルな<br>和壁紙です。
41	1	3	緑の壁紙	2	250	0	0	モスグリーンの落ち着いた地色に花柄パターンのシックでお洒落な壁。ちょっと格調高いですね！
42	1	4	春仕様の壁紙	2	1000	0	0	春の雰囲気にマッチした明<br>るい色調で仕上げられた和<br>の壁紙。シンプルなデザイ<br>ンの中に、どんな家具とも<br>馴染む奥深い趣き。
43	1	5	昭和レトロな壁紙	0	0	0	0	あずき色×若草色で昭和レトロな趣ある壁紙。
44	1	6	チョコレートの壁紙	2	550	0	0	チョコレートをモチーフに<br>鎮守府の艦娘たちがデザイ<br>ンした壁紙です。鎮守府内<br>にチョコレートの甘い香り<br>が漂いますネ！
45	1	7	ポップな壁紙	1	100	0	0	カジュアルな若い感性の壁紙。鮮やかな色彩のストライプには提督は渋い顔ですが、気にしません！
46	1	8	お菓子作りの壁紙	2	700	0	15	お菓子作りにぴったりの壁<br>紙を！そんな艦娘の声から<br>生まれた、ポップで優しい<br>雰囲気のガーリーな壁紙。<br>お菓子作りも捗ります！
47	1	9	高級和風壁紙	2	700	0	0	もっと落ち着いた和の心の<br>壁紙が欲しい…という提督<br>の要請から生まれた、高級<br>和風壁紙。違いのわかる、<br>大人の提督に人気です。
48	1	10	家具職人の壁紙	3	2000	0	0	特注家具職人がそのもてる<br>技術とセンスを総動員して<br>作り上げた、艦娘のための<br>新作壁紙。職人は満足気な<br>表情で帰って行きました…
49	1	11	秋仕様の壁紙	2	1000	1	0	秋の鎮守府のために用意さ<br>れた壁紙。和のテイストで<br>落ち着いた雰囲気を醸し出<br>しています。少し大人の艦<br>娘にも好評です。
50	1	12	シンプルモダン壁紙	2	200	0	0	低い位置に装飾のラインが一本だけ入った気品のある壁紙。どんな家具にもマッチします。
51	1	13	軍艦色の壁	2	900	1	0	執務室で仕事中も艦隊勤務<br>中と同じ雰囲気に包まれる<br>軍艦色で塗装された壁面。<br>シックかつ重厚な趣きの提<br>督執務室を構成します。
52	1	14	白い冬の壁紙	3	1200	0	0	冬の季節を迎えた提督と艦<br>娘達に贈る白を基調とした<br>壁面。ツリーを飾るもよし<br>檜の温泉を配置するもよし<br>提督のセンスが光ります。
53	1	15	青い壁紙	2	200	0	0	寒色系でまとめた清楚かつ清潔なイメージの壁紙。知的な艦娘たちに好評です！
54	1	16	高級赤煉瓦の壁	4	3000	1	0	職人が丹精込めてしっかり<br>焼き上げた赤煉瓦を用いて<br>イギリス積みで組み上げた<br>様式美漂う鎮守府の壁。違<br>いの判る提督に人気です。
55	1	17	チェック＆リーフ壁紙	3	300	0	0	春のうららかな陽気にぴったりの桃色ベースの壁紙です。
56	1	18	木板の壁	2	1000	0	0	壁紙ではなく、壁材自身を<br>木材に換装した逸品。自然<br>の素材ならではの落ち着い<br>た雰囲気が、鎮守府を優し<br>く包み込みます。
57	1	19	高級木材の壁	3	2200	1	0	素材の木材自身の醸し出す<br>美しさと落ち着いた雰囲気<br>が味わえる高級木材の壁。<br>職人が山に登って厳選した<br>素材の良さが伝わります。
58	1	20	折鶴の壁紙	3	1500	1	0	秋の気配を感じる今日この<br>頃にぴったりの落ち着いた<br>和の雰囲気の壁紙です。畳<br>などの和の家具とも自然と<br>馴染む穏やかな仕上がり。
59	1	21	緑の和壁紙	4	1900	0	0	シンプルでありながら繊細<br>な仕事によって完成された<br>和の究極の壁紙のひとつ、<br>それがこの「緑の和壁紙」<br>壁紙ってわびさびよね…。
60	1	22	新緑の壁紙	2	900	0	0	皐月五月、新緑の季節を表<br>現した爽やかな壁紙です。<br>緑は目に優しく、また心を<br>落ち着かせる効果もあると<br>大淀さんも云ってました！
61	1	23	ピンクドット壁紙	4	400	0	0	ピンクの大きなドットがポップな雰囲気を醸し出す壁紙。前衛的なキュートさは、一部の艦娘に大好評！
62	1	24	ブルードットな壁紙	0	0	0	0	大きなドットが子供らしいポップな壁紙。<br>淡いブルーで純粋な印象に！
63	1	25	冬のモダンアート壁紙	3	750	0	0	和のモダンアート壁紙の冬<br>バージョンです。冬の寒い<br>情景を演出した配色と一筋<br>の暖色がポイントな大人の<br>壁紙です。
64	1	26	和モダンアート壁紙	5	750	0	0	一面のブラックに赤のさし色。センスの効いた壁紙です。艦娘が選ぶ壁紙大賞の銀賞を受賞した逸品。
65	1	27	桃の節句の壁紙	2	330	0	16	桃の節句は女の子の季節。<br>そんな早春に相応しい甘い<br>雰囲気の壁紙です。雛祭り<br>にも優しくフィット。桃香<br>の漂う提督室作りに！
66	1	28	穏やかな壁紙	0	0	0	0	落ち着いた色合いが和室にぴったり！
67	1	29	新春の壁紙	3	1800	0	0	新春の新たな鎮守府の装い<br>のために新調された壁紙。<br>控えめなデザインの中に、<br>新年を切り拓く艦娘たちの<br>闘志が込められています。
68	1	30	コンクリート壁	2	200	1	0	打ちっぱなしの冷たいコンクリート壁面がクール。知的でセンスのある近代的な艦隊司令部を演出します。
69	1	31	ピンクコンクリ壁	2	250	0	0	一部の艦娘に絶賛されているピンクのコンクリート壁。打ちっぱなし壁面なのにキュートな独特な雰囲気。
70	1	32	龍の壁紙	4	50000	0	0	家具箱の一斉開封機能実装<br>を記念して用意された家具<br>コイン長者に贈る逸品。龍<br>をモチーフにしたデザイン<br>の最高級和風壁紙です。
71	1	33	紅葉の壁紙	5	20000	1	0	壁一面に紅葉した紅葉をあ<br>しらった手間暇のかかった<br>家具コイン長者提督に贈る<br>逸品。秋の夜長の艦隊指揮<br>にぴったりの最高級壁紙。
72	2	0	赤カーテンの窓	0	0	0	0	鎮守府に備え付けの基本的なデザインの赤いカーテンと窓。母港の様子が一望できます。
73	2	1	緑カーテンの窓	1	50	1	0	知的な貴方にぴったりのグリーンのカーテン。落ち着いて戦略を練る提督にぴったりです。
74	2	2	青カーテンの窓	1	100	0	0	爽やかな雰囲気になれるブルーのカーテン。生地も少し高級な素材を使っています。
75	2	3	鎮守府新年飾り	3	2000	0	0	鎮守府や泊地の新年を祝う<br>ための新年飾り。門松はも<br>ちろん、新春を艦娘たちと<br>楽しく迎えるための大切な<br>家具です。よいお年を！
76	2	4	破魔矢の窓	4	2200	0	0	ある航空母艦娘が用意して<br>くれた破魔矢を配した特注<br>仕様の窓です。職人のこだ<br>わりが随所に感じられる特<br>注高級家具です。
77	2	5	ちょっとゴージャスな窓	2	200	0	0	重厚感と高級感を感じさせる、シックなカーテンと窓。黒色系で統一された風格のある執務室を演出します。
78	2	6	晩秋の高級和窓	4	1980	0	0	円形窓のデザインが美しい<br>落ち着いた雰囲気をもった<br>高級和窓。晩秋の鎮守府に<br>あうこの和窓、今だけ特注<br>家具職人なしで設置可能！
79	2	7	青い上品な大窓	3	350	0	0	高級感溢れるビロードのカーテンが嬉しい、落ち着いた佇まいの大窓。
80	2	8	広く開いた大窓	4	20000	0	0	母港のドックを見渡せるよ<br>うに大きく窓が開いた窓。<br>開放的な気分で、艦娘との<br>作戦会議も捗ります！
81	2	9	白いカーテンの小窓	3	330	0	0	少し小ぶりの窓枠の両脇に<br>白いカーテンを備えた可愛<br>い小窓です。ガーリーな雰<br>囲気は優しい提督の艦娘に<br>ぴったりです！
82	2	10	桃の節句の窓	4	3300	0	16	桃の節句の季節を艦娘たち<br>と愉しむための特注品の窓<br>です。家具職人の熱い家具<br>魂とこの季節を彩る小物や<br>味覚が配置されています。
83	2	11	爽やかな窓	3	300	0	0	ミントグリーンのカーテンと窓際に置かれたグリーンが爽やかな気持ちにしてくれる小窓。
84	2	12	てるてる坊主の窓	3	2000	0	18	艦娘お手製のてるてる坊主が吊るされた窓。梅雨の雨もこれがあれば安心です！中に何かが入っている気もしますが気にしませんっ！
85	2	13	紫陽花の窓	3	1800	0	0	梅雨明けの窓に咲く紫陽花<br>の花。なにやら毒が作れる<br>って話もあるんですって。<br>龍田さんが云ってました！<br>夏気分先取りの風鈴付き！<br>
86	2	14	お花見窓	4	3000	0	0	いよいよ桜の季節となりま<br>した！家具職人を呼んで、<br>鎮守府の窓を大きく改造…<br>眼下の桜を肴に艦娘たちと<br>お昼からお花見宴会です！
87	2	15	鉄格子の窓	5	2500	0	0	間諜や暴漢から執務室を守るための堅牢な鉄格子の窓。これで、防犯体制もばっちりです！
88	2	16	お月見窓	2	1200	1	0	艦娘たちと一緒に鎮守府か<br>ら見る秋のお月様もいいも<br>のです。お団子とススキも<br>ご用意です…某正規空母の<br>つまみ食い注意して！
89	2	17	防空加工窓	4	2000	0	0	いつ敵の空襲を受けてもいいように艦娘たちにガラスをテーピングしてもらいました。これで安心なのです！
90	2	18	障子デラックス	5	3000	0	0	究極にして最高の窓、それが障子。和のココロともいうべきデザイン。提督の熱いご要望でデラックス化！
91	2	19	シンプルフレーム	1	100	0	0	シンプルなフレームの窓。機能美を追究したシンプルさが、質実剛健さを求める提督にぴったりです。
92	2	20	シンプルフレーム2型	1	200	0	0	機能美を追究したシンプルさが、質実剛健さを求める提督にぴったり。シンプルな白タイプ！
93	2	21	豪華なお月見窓	4	2200	1	0	艦娘と見る中秋の名月もお<br>つなもの。どうせなら豪華<br>なお月見専用窓を執務室に<br>設営してしまいます？家具<br>職人も呼んでおきました！
94	2	22	シンプルなすだれ窓	2	350	0	0	なにやら少し現代的な機能<br>を持った簾付のシンプルな<br>窓です。これなら午後の日<br>差しが差し込んできても落<br>ち着いて執務できますね。
95	2	23	すだれ窓	2	250	0	0	現代的な機能を持った簾のついた窓。まぶしい光が差し込んできても、スムーズに執務できちゃいますね！
96	2	24	昔ながらのすりガラス	4	400	0	0	すりガラスを入れた窓です。素敵にデザインされた紅葉柄が艦隊司令部に不思議な雰囲気を演出します。
97	2	25	艦娘による冬の窓	3	1300	0	0	鎮守府のシンプルな窓枠を<br>艦娘たちが思い思いにデコ<br>レーション…手作りで飾っ<br>てくれました。冬の提督に<br>贈るハートフルな窓です。
98	2	26	冬のステンドグラス	4	2220	0	25	特注家具職人の手による冬<br>と雪をイメージした高級な<br>ステンドグラス。可愛らし<br>くそれでいてシックな仕上<br>りは艦娘に大人気です！
99	2	27	おしゃれな格子窓	5	550	0	0	どこか懐かしくて新しいデザインのガラス格子窓です。ファンの多い優れたデザイナーによる逸品です。
100	2	28	障子	5	800	0	0	究極にして最高の窓、それが障子。和のココロの昇華ともいうべきシンプルにして最高のデザイン。
101	2	29	春の高級窓	5	40000	0	0	わびさびのわかる、大人の<br>提督のための春の高級仕様<br>です。歴戦の提督が入手可<br>能なこの窓。桜を眺めると<br>少し泣けてきますね。
102	3	0	なし	0	0	0	0	壁に何か飾れそうですね！
103	3	1	壁掛け古時計	2	150	0	0	大きなのっぽではない古時計です。優しく時を刻む音が、作戦立案で疲れた提督を癒します。
104	3	2	お詫び掛け軸	4	0	0	0	何者かの手による「お詫び。」と書かれた掛け軸。飾ることによって、うずしおを回避するような機能はない…気持ちの逸品。
105	3	3	ステンドグラス	4	500	0	0	海と艦艇をモチーフにしたデザインは、1クラス上の上質な時間を演出します。
106	3	4	鹿のオブジェ	2	300	0	0	リッチなロッジのような世界観を醸し出す鹿の壁掛け。だけど、剥製ではなくて、ぬいぐるみ。
107	3	5	「海上護衛」掛け軸	3	2000	1	0	「海上護衛」の重要性を艦娘たちに訴えかけるような魂の掛け軸。大井提督の筆によるものとも軽巡や駆逐艦娘作など諸説あります。
108	3	6	花の絵画	1	100	0	0	なくとなく壁がさみしい…そんな提督のココロを癒す、花の絵画。司令官室を華やかに演出。
109	3	7	「20万の感謝」掛け軸	2	0	0	0	提督20万人突破を記念して<br>ある軽巡が書いた掛け軸。<br>全ての提督達に沢山の感謝<br>だクマー！多摩だニャー！<br>キ、キソだキソ―！
110	3	8	「100万の感謝」掛け軸	4	0	0	0	ある超弩級戦艦娘が書いた<br>提督数１００万人突破記念<br>感謝の掛け軸。同戦艦娘は<br>「就役する妹も、よろしく<br>お願いしますね」と語る。
111	3	9	紳士な帽子掛け	2	200	0	0	優れた海の戦士は優しい紳士たれ。シルクハットと懐中時計がとっても紳士的な帽子掛け。
112	3	10	「夜戦」掛け軸	4	2000	1	0	「夜戦」に飽くなき執念と見敵必殺の想いを込めた艦娘自身の手による一筆です。
113	3	11	「50万の感謝」掛け軸	4	0	0	0	提督50万人突破を記念して<br>ある戦艦が書いた掛け軸。<br>べ、別に何か焦っていると<br>かではないぞ。純粋に感謝<br>の気持ちだ、胸が熱いな！
114	3	12	「謹賀新年」掛け軸	4	3000	0	0	あけましておめでとうござ<br>います！本年もどうぞよろ<br>しくお願い致します。新年<br>も提督と艦娘たちが幸せで<br>ありますように！
115	3	13	「80万の感謝」掛け軸	4	0	0	0	提督数80万人を突破したっ<br>ぽい？ということで、ある<br>駆逐艦が準備した掛け軸。<br>ハンモック意匠を凝らした<br>キュートなデザイン。
116	3	14	古い世界地図	1	50	0	0	とても古い世界地図。よく見ると謎の印が！お宝のありかかもしれません…平和な海がきたら探索ですね！
117	3	15	「なのです」掛け軸	4	2400	1	0	提督への想いのつまった逸品です。どの艦娘の作品かはわかり…あ…裏に名前が書いてありました。
118	3	16	「第六駆逐隊」掛け軸	4	3000	0	0	歴戦の水雷戦隊である第六<br>駆逐隊。その栄光と武運長<br>久を祈って、ある暁型駆逐<br>艦の手によって書かれた掛<br>け軸です。
119	3	17	フレーム付地図	0	0	0	0	地図をもっと大切に保管したいコレクター癖のあるあなたはこっち！
120	3	18	小さな観葉植物	1	100	0	0	小さくても緑の観葉植物が、戦いで疲れたココロを癒してくれます。
121	3	19	シンプルな観葉植物	0	0	0	0	演習で疲れた心を癒す観葉植物。<br>爽やかなホワイト。
122	3	20	「舞鶴鎮守府」掛け軸	2	0	0	0	日本海側唯一の鎮守府にし<br>て、数々の苦難を乗り越え<br>る漢たちの港、舞鶴。その<br>気概と肉じゃががアレンジ<br>された魂の掛け軸です。
123	3	21	アレンジメント	2	150	1	0	喜び、明るさ、明朗、愉快を表現するフラワーアレンジメント。司令官室を華やかに快活に演出します！
124	3	22	壁掛け図上演習セット	4	3000	0	0	提督と秘書艦たちが戦略や<br>作戦を練るための図上演習<br>セットです。戦力駒に磁石<br>がついた、まさかの壁掛け<br>タイプで省スペースです！
125	3	23	「150万の感謝」掛け軸	4	0	0	0	ある正規空母艦娘が新春<br>に書いた、提督数１５０万<br>人突破を記念した掛け軸。<br>なぜ掛け軸に妹の名を書く<br>必要があるのかは謎です。
126	3	24	「180万の感謝」掛け軸	4	0	0	0	二水戦の旗艦を務めた艦娘<br>の手による提督数１８０万<br>人突破を記念した掛け軸。<br>「次発装填済みです…」と<br>呟きながらの達筆です。
127	3	25	「一周年記念」掛け軸	4	0	0	0	提督のおかげで迎えること<br>ができた「祝一周年」を記<br>念して制作された掛け軸。<br>二年目も、どうぞよろしく<br>お願い致します！
128	3	26	怪獣映画ポスター	0	0	0	0	ちび大怪獣の襲来！迎え撃つ艦娘の勇姿！大ヒットした総天然色映画のポスターです。
129	3	27	富士山の壁画	5	3000	0	0	なんとなくコーヒー牛乳が飲みたくなる…そんな風情たっぷりの富士山をあしらった壁画。
130	3	28	戦艦映画ポスター	4	400	0	0	遠い国での戦艦の反乱を描いた古いサイレント映画のポスターです。とってもレアなポスターなんです！
131	3	29	女の子のポスター	0	0	0	0	リボンがチャームポイントの女の子とウサギのガーリーなポスター。
132	3	30	試作艦戦ポスター	5	1000	0	0	空技廠から独自のルートで手に入れた新型艦上戦闘機の試作機ポスター。空母な艦娘垂涎の逸品です。
133	4	0	なし	0	0	0	0	素敵にインテリアを置きたいですね！
134	4	1	昔ながらの箪笥	0	0	0	0	昔ながらの雰囲気の箪笥。<br>どんなお部屋にも馴染みます。
135	4	2	サイドボード	2	200	1	0	各提督御用達の落ち着いた高品質でシックなサイドボードはいかが？鎮守府の雰囲気にもぴったりです。
136	4	3	「霧」の桐箪笥	5	0	0	0	霧の艦艇が艦隊を去る時に<br>ナノマテリアルで作ってく<br>れた、置き土産の霧箪笥。<br>箪笥の上には、あの艦の精<br>密模型が飾られています。
137	4	4	節分「豆まき」セット	3	1300	0	12	「鬼は外、福は内！」艦娘<br>たちと節分の豆まきを行う<br>ための準備一式です。歳の<br>分だけ豆を食べると厄除け<br>にもなるみたいです！
138	4	5	暖炉	2	250	0	0	提督の執務室には暖炉が似合う！上には自慢の品を色々と飾っちゃいましょう！火事には注意してね。
139	4	6	チョコケーキと紅茶セット	4	0	0	15	艦娘たちが提督のために心<br>を込めて用意したバレンタ<br>インデーの贈り物。香り高<br>い紅茶と甘いチョコレート<br>ケーキを召し上がれ！
140	4	7	「長門」「陸奥」の雛人形	4	20000	0	16	鎮守府の雛祭りをお祝する<br>古から伝わる家具。長門型<br>戦艦をイメージしたお内裏<br>様とお雛様が箪笥の上に鎮<br>座した可愛い雛人形です。
141	4	8	エレガントボード	3	300	0	0	インテリジェンスを感じさせるエレガントなサイドボード。選ぶ人のセンスが光る逸品です。
142	4	9	鎮守府のツリー	2	0	0	0	各鎮守府や拠点に贈られた<br>白いツリー。少しずつ飾り<br>も充実させていきたいです<br>ね…。作戦行動中の全提督<br>の皆さんにお贈りします。
143	4	10	メルヘンシェルフ	4	450	1	0	淡いピンクなデザインの食器棚にぬいぐるみ達がとってもメルヘンな雰囲気を醸し出すインテリア家具。
144	4	11	やかんストーブ	3	2000	0	0	冬を迎える各鎮守府に必要<br>なもの…それは充実の煖房<br>器具。その原点にして頂点<br>ともいえるこのストーブ。<br>やかんもセットでどうぞ！
145	4	12	クラシックシェルフ	3	300	0	0	クラシックでシンプルな食器棚。やはり艦隊の指揮に紅茶セットは必須アイテムでしょ？
146	4	13	重巡模型と桐箪笥	5	47000	0	0	高雄型重巡の模型が飾られ<br>た高級桐箪笥。家具コイン<br>長者に贈られるこの逸品…<br>「豪華」といって差し上げ<br>ますわ！
147	4	14	「赤城」模型と桐箪笥	5	7000	0	0	提督20万人突破と、家具箱<br>の一斉開封機能実装を記念<br>して用意された、最高級の<br>桐箪笥。某正規空母の精密<br>模型が鎮座してます。
148	4	15	「長門」模型と桐箪笥	5	70000	0	27	家具箱の一斉開封機能実装<br>を記念して用意された家具<br>コイン長者に贈る逸品。精<br>密模型は長門型。必要家具<br>コインの数もビッグ７級！
149	4	16	折り畳み机	1	150	1	0	所属する艦娘の大雑把な性格が見事に表現された折り畳み机！とりあえずここにかけとこっと！
150	4	17	ハンガーラック	0	0	0	0	ちょっと大きめのハンガーラック。<br>どんな服をかけようかな？
151	4	18	ハンガーラック	1	100	1	0	何となく視線を感じる素敵なハンガーラック。ちょっと大きめで色々かけられそう！
152	4	19	ドレッサー	5	600	1	0	艦娘が出撃前に殺到する鏡台。身だしなみは大事です！なぜ提督の部屋にあるのか、ちょっと謎です。
153	4	20	照れ屋なお面	0	0	0	0	頬の紅潮が可愛いかもしれないおかめのお面。
154	4	21	Ｚ旗の暖炉	5	22000	0	0	冬を迎える提督の執務室の<br>必需品といえる煖房器具。<br>その中でも最高級クラスに<br>位置するのが、この暖炉。<br>最高の温もりを貴方に。
155	4	22	緑のプランター	1	50	0	0	お部屋も気持ちも爽やかにしてくれるグリーンのプランター。ぜひ、ときどき配置もしてみて気分転換を！
156	4	23	模様替えお掃除セット	2	700	0	0	春は異動や引っ越しの季節<br>です。我が鎮守府でも艦娘<br>に手伝ってもらって部屋の<br>お掃除や模様替えをしまし<br>ょう！
157	4	24	しょうぶ和箪笥	3	1700	0	0	しょうぶの花がアレンジさ<br>れた和風家具。しょうぶの<br>葉を入れたお風呂、しょう<br>ぶ湯も健康によさそう！美<br>と武を祈る季節家具です。
158	4	25	診療台セット	4	4500	0	0	前線で戦う艦娘をベストな医療環境でバックアップ。一部の提督の熱い要望により実現した診療台セット。医療？診察？
159	4	26	教室セット「机」	4	30000	0	0	鎮守府で戦術や航海の講義<br>をする際に用いる教室セッ<br>ト。その後ろ側の学生机。<br>後ろ側なので、教科書を立<br>てて授業中の内職もОＫ！
160	4	27	「武蔵」模型と桐箪笥	5	88000	0	13	超弩級の家具コイン長者に<br>贈る最高級桐箪笥。上部に<br>は大和型二番艦「武蔵」の<br>精密模型が鎮座する、文字<br>通り最大最強の箪笥家具。
161	4	28	「加賀」模型と桐箪笥	5	77000	1	20	超弩級の家具コイン長者に<br>贈る最高級桐箪笥。上部に<br>は加賀型航空母艦「加賀」<br>の精密模型が鎮座する流石<br>に気分が高揚する桐箪笥。
162	4	29	だるま	2	200	0	0	必勝祈願に「だるま」はいかがですか？両方入った黒目で艦隊の武運長久をお祈りします！
163	4	30	新生だるま	0	0	0	0	突然変異で誕生しただるま。<br>神秘的な表情が神々しい気がしますが特にご利益はないようです。
164	5	0	ただの段ボール	0	0	0	0	引っ越ししたてのなかなか片付かない段ボール。<br>はやく捨てたい。
